,match,team,goals,GK_passes_succeed,GK_total passes,GK_passes accuracy,GK_total shots,GK_on-target,GK_fouls committed,GK_fouls suffered,GK_distance,GK_distance in poss,GK_distance not in poss,GK_time on opposite half,GK_time on opposite third,GK_time on opposite pen,GK_sprints,GK_avg max speed,GK_low activity,GK_mid activity,GK_high activity,GK_saves,GK_yellow,GK_red,GK_tackles gaining ball,GK_tackles suffered losing ball,DF_passes_succeed,DF_total passes,DF_passes accuracy,DF_total shots,DF_on-target,DF_fouls committed,DF_fouls suffered,DF_distance,DF_distance in poss,DF_distance not in poss,DF_time on opposite half,DF_time on opposite third,DF_time on opposite pen,DF_sprints,DF_avg max speed,DF_low activity,DF_mid activity,DF_high activity,DF_saves,DF_yellow,DF_red,DF_tackles gaining ball,DF_tackles suffered losing ball,MF_passes_succeed,MF_total passes,MF_passes accuracy,MF_total shots,MF_on-target,MF_fouls committed,MF_fouls suffered,MF_distance,MF_distance in poss,MF_distance not in poss,MF_time on opposite half,MF_time on opposite third,MF_time on opposite pen,MF_sprints,MF_avg max speed,MF_low activity,MF_mid activity,MF_high activity,MF_saves,MF_yellow,MF_red,MF_tackles gaining ball,MF_tackles suffered losing ball,FW_passes_succeed,FW_total passes,FW_passes accuracy,FW_total shots,FW_on-target,FW_fouls committed,FW_fouls suffered,FW_distance,FW_distance in poss,FW_distance not in poss,FW_time on opposite half,FW_time on opposite third,FW_time on opposite pen,FW_sprints,FW_avg max speed,FW_low activity,FW_mid activity,FW_high activity,FW_saves,FW_yellow,FW_red,FW_tackles gaining ball,FW_tackles suffered losing ball,result
0,1,KSA,0.0,19.0,34.0,56.0,0.0,0.0,0.0,0.0,4027.0,1818.0,1252.0,0.0,0.0,0.0,1.0,14.83,94.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,223.0,85.0,2.0,0.0,2.0,11.0,27497.0,14299.0,14266.0,72.0,6.75,1.5,174.0,29.645,71.75,25.75,2.5,0.0,0.0,0.0,0.0,0.0,225.0,245.0,89.83333333333333,3.0,0.0,5.0,11.0,21361.0,22230.0,17815.0,256.0,16.0,2.0,183.0,28.506666666666664,63.0,34.5,2.5,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,1.0,0.0,3.0,0.0,12468.0,5401.0,3914.0,187.0,32.0,5.666666666666667,45.0,25.126666666666665,75.66666666666667,22.333333333333332,2.0,0.0,0.0,0.0,0.0,0.0,-1
1,1,RUS,5.0,11.0,21.0,52.0,0.0,0.0,0.0,0.0,3606.0,1047.0,1215.0,0.0,0.0,0.0,1.0,21.46,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,93.0,84.33333333333333,0.0,0.0,1.0,2.0,30917.0,9223.0,14041.0,72.0,8.666666666666666,2.0,84.0,29.44666666666667,65.0,33.333333333333336,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,132.0,166.0,80.125,12.0,6.0,18.0,8.0,71973.0,22464.0,33062.0,442.0,27.125,5.125,293.0,28.9025,58.125,38.5,3.375,0.0,0.0,0.0,0.0,0.0,19.0,22.0,89.5,1.0,1.0,3.0,0.0,11467.0,3862.0,4890.0,153.0,47.0,15.5,60.0,28.405,63.5,32.5,4.0,0.0,0.0,0.0,0.0,0.0,1
2,2,EGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1
3,2,URU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1
4,3,ESP,3.0,18.0,20.0,90.0,0.0,0.0,0.0,0.0,2636.0,1013.0,837.0,0.0,0.0,0.0,0.0,9.14,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,314.0,91.75,1.0,1.0,6.0,1.0,37015.0,16041.0,12796.0,117.0,11.25,3.25,104.0,29.34,71.75,27.0,1.25,0.0,0.0,0.0,0.0,0.0,302.0,320.0,93.6,4.0,1.0,2.0,9.0,22677.0,19691.0,14209.0,240.0,17.8,2.2,112.0,26.482,64.0,34.2,1.8,0.0,0.0,0.0,0.0,0.0,67.0,73.0,90.25,7.0,3.0,2.0,1.0,20607.0,9717.0,6260.0,251.0,29.5,4.5,82.0,28.025,67.75,29.5,2.75,0.0,0.0,0.0,0.0,0.0,0
5,3,POR,3.0,18.0,24.0,75.0,0.0,0.0,0.0,0.0,4018.0,1070.0,1781.0,0.0,0.0,0.0,1.0,21.17,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,148.0,84.75,0.0,0.0,4.0,1.0,37448.0,10583.0,18616.0,90.0,8.75,1.25,105.0,27.585,69.0,29.5,1.5,0.0,0.0,0.0,0.0,0.0,122.0,135.0,86.2,1.0,0.0,5.0,2.0,39334.0,11533.0,19876.0,231.0,21.2,3.4,94.0,26.604000000000003,63.8,34.0,2.2,0.0,0.0,0.0,0.0,0.0,55.0,59.0,84.5,7.0,3.0,3.0,7.0,21693.0,6914.0,9784.0,253.0,35.0,9.25,67.0,27.655,68.5,29.5,2.0,0.0,0.0,0.0,0.0,0.0,0
6,4,IRN,0.0,12.0,22.0,55.0,0.0,0.0,0.0,0.0,4004.0,755.0,1160.0,0.0,0.0,0.0,0.0,13.72,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,75.0,72.4,3.0,0.0,2.0,9.0,37224.0,8589.0,16214.0,80.0,7.4,3.0,132.0,27.238,73.4,25.0,1.6,0.0,0.0,0.0,0.0,0.0,38.0,54.0,69.33333333333333,1.0,0.0,6.0,5.0,16076.0,6095.0,12204.0,100.0,12.666666666666666,1.0,113.0,27.84,68.66666666666667,28.666666666666668,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,30.0,43.0,81.2,4.0,2.0,6.0,7.0,22300.0,7907.0,13533.0,226.0,20.0,4.4,129.0,29.01,68.6,28.8,2.6,0.0,0.0,0.0,0.0,0.0,0
7,4,MAR,0.0,15.0,18.0,83.0,0.0,0.0,0.0,0.0,4319.0,1657.0,1061.0,0.0,0.0,0.0,0.0,18.14,94.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,191.0,91.0,4.0,1.0,4.0,1.0,29180.0,11919.0,7884.0,119.0,9.0,1.75,109.0,30.0875,72.25,25.75,2.0,0.0,0.0,0.0,0.0,0.0,186.0,221.0,83.14285714285714,8.0,2.0,15.0,11.0,57375.0,24391.0,14594.0,381.0,20.428571428571427,2.0,196.0,29.768571428571427,70.71428571428571,27.285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,33.5,1.0,0.0,3.0,1.0,10188.0,4566.0,2406.0,167.0,51.0,11.5,35.0,29.479999999999997,68.5,29.5,2.0,0.0,0.0,0.0,0.0,0.0,0
8,5,AUS,1.0,43.0,47.0,91.0,0.0,0.0,0.0,0.0,4689.0,1814.0,1649.0,0.0,0.0,0.0,5.0,18.76,92.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,169.0,198.0,83.75,2.0,0.0,8.0,2.0,20252.0,14280.0,17038.0,76.0,7.25,1.0,146.0,29.475,65.0,33.0,2.0,0.0,2.0,0.0,3.0,0.0,93.0,108.0,90.5,1.0,1.0,4.0,3.0,13672.0,11869.0,14694.0,159.0,17.25,3.5,92.0,26.189999999999998,59.0,39.0,2.0,0.0,0.0,0.0,1.0,1.0,27.0,37.0,72.6,1.0,0.0,7.0,9.0,22636.0,11791.0,13310.0,260.0,24.8,5.0,150.0,28.188,62.8,34.2,3.0,0.0,1.0,0.0,0.0,1.0,0
9,5,FRA,1.0,17.0,19.0,89.0,0.0,0.0,0.0,0.0,4472.0,1782.0,1614.0,0.0,0.0,0.0,1.0,22.5,93.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,198.0,224.0,88.0,4.0,0.0,7.0,9.0,37495.0,13690.0,14650.0,142.0,15.5,2.75,120.0,30.035,70.0,28.5,1.5,0.0,0.0,0.0,1.0,1.0,162.0,179.0,87.0,2.0,1.0,5.0,4.0,31204.0,12245.0,12344.0,225.0,23.5,7.0,91.0,27.7325,62.5,35.5,2.0,0.0,1.0,0.0,0.0,0.0,46.0,62.0,70.8,7.0,4.0,4.0,6.0,29668.0,11464.0,11212.0,366.0,46.4,10.4,133.0,28.462,68.4,28.8,2.8,0.0,0.0,0.0,1.0,3.0,0
