,index,Unnamed: 0,match,team,GK_passes_succeed,GK_total passes,GK_passes accuracy,GK_total shots,GK_on-target,GK_fouls committed,GK_fouls suffered,GK_distance,GK_distance in poss,GK_distance not in poss,GK_time on opposite half,GK_time on opposite third,GK_time on opposite pen,GK_sprints,GK_avg max speed,GK_low activity,GK_mid activity,GK_high activity,GK_saves,GK_yellow,GK_red,GK_tackles gaining ball,GK_tackles suffered losing ball,DF_passes_succeed,DF_total passes,DF_passes accuracy,DF_total shots,DF_on-target,DF_fouls committed,DF_fouls suffered,DF_distance,DF_distance in poss,DF_distance not in poss,DF_time on opposite half,DF_time on opposite third,DF_time on opposite pen,DF_sprints,DF_avg max speed,DF_low activity,DF_mid activity,DF_high activity,DF_saves,DF_yellow,DF_red,DF_tackles gaining ball,DF_tackles suffered losing ball,MF_passes_succeed,MF_total passes,MF_passes accuracy,MF_total shots,MF_on-target,MF_fouls committed,MF_fouls suffered,MF_distance,MF_distance in poss,MF_distance not in poss,MF_time on opposite half,MF_time on opposite third,MF_time on opposite pen,MF_sprints,MF_avg max speed,MF_low activity,MF_mid activity,MF_high activity,MF_saves,MF_yellow,MF_red,MF_tackles gaining ball,MF_tackles suffered losing ball,FW_passes_succeed,FW_total passes,FW_passes accuracy,FW_total shots,FW_on-target,FW_fouls committed,FW_fouls suffered,FW_distance,FW_distance in poss,FW_distance not in poss,FW_time on opposite half,FW_time on opposite third,FW_time on opposite pen,FW_sprints,FW_avg max speed,FW_low activity,FW_mid activity,FW_high activity,FW_saves,FW_yellow,FW_red,FW_tackles gaining ball,FW_tackles suffered losing ball,result
0,0,0,1,MEX,19.0,6.0,46.0,0.0,0.0,0.0,0.0,163.0,612.0,-208.0,0.0,0.0,0.0,-26.0,8.25,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,201.0,225.0,11.366666666666674,2.0,0.0,5.0,8.0,21103.0,13378.0,3734.0,172.0,10.1,0.9333333333333332,219.0,0.5333333333333314,-4.166666666666671,2.833333333333334,1.333333333333334,0.0,0.0,0.0,0.0,0.0,-31.0,-82.0,16.5,-6.0,-3.0,-8.0,-7.0,-41525.0,-12194.0,-20740.0,-67.0,9.0,-0.19999999999999996,-667.0,0.1579999999999977,-1.9000000000000057,1.4000000000000004,0.5,0.0,0.0,0.0,0.0,0.0,49.0,77.0,-3.8999999999999986,9.0,3.0,-1.0,5.0,17594.0,9331.0,4420.0,321.0,31.9,4.199999999999999,158.0,-3.6290000000000013,7.099999999999994,-1.5999999999999996,-5.5,0.0,0.0,0.0,0.0,0.0,0
1,1,1,1,RSA,-19.0,-6.0,-46.0,0.0,0.0,0.0,0.0,-163.0,-612.0,208.0,0.0,0.0,0.0,26.0,-8.25,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-201.0,-225.0,-11.366666666666674,-2.0,0.0,-5.0,-8.0,-21103.0,-13378.0,-3734.0,-172.0,-10.1,-0.9333333333333332,-219.0,-0.5333333333333314,4.166666666666671,-2.833333333333334,-1.333333333333334,0.0,0.0,0.0,0.0,0.0,31.0,82.0,-16.5,6.0,3.0,8.0,7.0,41525.0,12194.0,20740.0,67.0,-9.0,0.19999999999999996,667.0,-0.1579999999999977,1.9000000000000057,-1.4000000000000004,-0.5,0.0,0.0,0.0,0.0,0.0,-49.0,-77.0,3.8999999999999986,-9.0,-3.0,1.0,-5.0,-17594.0,-9331.0,-4420.0,-321.0,-31.9,-4.199999999999999,-158.0,3.6290000000000013,-7.099999999999994,1.5999999999999996,5.5,0.0,0.0,0.0,0.0,0.0,0
2,2,2,2,FRA,-2.0,-5.0,4.0,0.0,0.0,0.0,1.0,1395.0,867.0,414.0,0.0,0.0,0.0,5.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,97.0,6.5,-1.0,-1.0,-1.0,3.0,507.0,3215.0,-2464.0,71.0,6.0,1.75,73.0,1.8724999999999987,-1.25,1.25,0.0,0.0,-1.0,0.0,0.0,0.0,-27.0,-49.0,18.25,7.0,2.0,6.0,-10.0,-9475.0,-1328.0,-6170.0,63.0,10.0,1.8333333333333333,-140.0,-0.20750000000000313,1.9166666666666714,0.3333333333333339,-2.25,0.0,-1.0,-1.0,-1.0,2.0,44.0,54.0,30.333333333333343,5.0,-1.0,2.0,-1.0,7864.0,4934.0,1212.0,230.0,33.2,12.333333333333334,139.0,-0.3233333333333377,-1.5333333333333314,0.13333333333333286,1.4000000000000004,0.0,1.0,0.0,0.0,-1.0,0
3,3,3,2,URU,2.0,5.0,-4.0,0.0,0.0,0.0,-1.0,-1395.0,-867.0,-414.0,0.0,0.0,0.0,-5.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,-97.0,-6.5,1.0,1.0,1.0,-3.0,-507.0,-3215.0,2464.0,-71.0,-6.0,-1.75,-73.0,-1.8724999999999987,1.25,-1.25,0.0,0.0,1.0,0.0,0.0,0.0,27.0,49.0,-18.25,-7.0,-2.0,-6.0,10.0,9475.0,1328.0,6170.0,-63.0,-10.0,-1.8333333333333333,140.0,0.20750000000000313,-1.9166666666666714,-0.3333333333333339,2.25,0.0,1.0,1.0,1.0,-2.0,-44.0,-54.0,-30.333333333333343,-5.0,1.0,-2.0,1.0,-7864.0,-4934.0,-1212.0,-230.0,-33.2,-12.333333333333334,-139.0,0.3233333333333377,1.5333333333333314,-0.13333333333333286,-1.4000000000000004,0.0,-1.0,0.0,0.0,1.0,0
4,4,4,3,ARG,3.0,6.0,0.0,0.0,0.0,0.0,0.0,448.0,457.0,-168.0,0.0,0.0,0.0,-1.0,0.29999999999999893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,17.0,10.5,1.0,1.0,0.0,0.0,-3668.0,1430.0,-4244.0,25.0,2.25,1.0,-42.0,-1.4675000000000011,-3.5,1.75,1.75,0.0,0.0,0.0,0.0,0.0,102.0,125.0,5.5,-1.0,0.0,1.0,1.0,6439.0,5968.0,-1037.0,65.0,2.0,0.10000000000000009,84.0,1.3089999999999975,0.4000000000000057,-1.0500000000000007,0.6500000000000004,0.0,0.0,0.0,0.0,0.0,79.0,82.0,17.1,9.0,5.0,-2.0,0.0,-1341.0,2713.0,-3775.0,0.0,12.600000000000001,2.3499999999999996,73.0,1.5464999999999982,0.7000000000000028,-0.5,-0.1999999999999993,0.0,0.0,0.0,0.0,0.0,1
5,5,5,3,NGA,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0,-448.0,-457.0,168.0,0.0,0.0,0.0,1.0,-0.29999999999999893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0,-17.0,-10.5,-1.0,-1.0,0.0,0.0,3668.0,-1430.0,4244.0,-25.0,-2.25,-1.0,42.0,1.4675000000000011,3.5,-1.75,-1.75,0.0,0.0,0.0,0.0,0.0,-102.0,-125.0,-5.5,1.0,0.0,-1.0,-1.0,-6439.0,-5968.0,1037.0,-65.0,-2.0,-0.10000000000000009,-84.0,-1.3089999999999975,-0.4000000000000057,1.0500000000000007,-0.6500000000000004,0.0,0.0,0.0,0.0,0.0,-79.0,-82.0,-17.1,-9.0,-5.0,2.0,0.0,1341.0,-2713.0,3775.0,0.0,-12.600000000000001,-2.3499999999999996,-73.0,-1.5464999999999982,-0.7000000000000028,0.5,0.1999999999999993,0.0,0.0,0.0,0.0,0.0,-1
6,6,6,4,GRE,-6.0,-6.0,-5.0,0.0,0.0,0.0,0.0,781.0,245.0,239.0,0.0,0.0,0.0,-5.0,0.8000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,42.0,6.200000000000003,-3.0,-1.0,2.0,2.0,5038.0,1853.0,2410.0,54.0,2.25,0.7,74.0,-0.7134999999999998,-1.0,-0.20000000000000018,1.1999999999999993,0.0,0.0,0.0,0.0,0.0,-64.0,-96.0,0.0,-7.0,-3.0,-7.0,-3.0,-28921.0,-12717.0,-11493.0,-175.0,-1.2857142857142847,-0.47619047619047605,-359.0,0.3995238095238136,4.428571428571431,-0.9523809523809526,-3.4761904761904763,0.0,0.0,0.0,0.0,0.0,37.0,61.0,33.0,-2.0,-1.0,3.0,2.0,19883.0,8695.0,8122.0,224.0,2.200000000000003,4.300000000000001,162.0,1.5939999999999976,6.900000000000006,-3.2,-3.6999999999999993,0.0,0.0,0.0,0.0,0.0,-1
7,7,7,4,KOR,6.0,6.0,5.0,0.0,0.0,0.0,0.0,-781.0,-245.0,-239.0,0.0,0.0,0.0,5.0,-0.8000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-42.0,-6.200000000000003,3.0,1.0,-2.0,-2.0,-5038.0,-1853.0,-2410.0,-54.0,-2.25,-0.7,-74.0,0.7134999999999998,1.0,0.20000000000000018,-1.1999999999999993,0.0,0.0,0.0,0.0,0.0,64.0,96.0,0.0,7.0,3.0,7.0,3.0,28921.0,12717.0,11493.0,175.0,1.2857142857142847,0.47619047619047605,359.0,-0.3995238095238136,-4.428571428571431,0.9523809523809526,3.4761904761904763,0.0,0.0,0.0,0.0,0.0,-37.0,-61.0,-33.0,2.0,1.0,-3.0,-2.0,-19883.0,-8695.0,-8122.0,-224.0,-2.200000000000003,-4.300000000000001,-162.0,-1.5939999999999976,-6.900000000000006,3.2,3.6999999999999993,0.0,0.0,0.0,0.0,0.0,1
8,8,8,5,ENG,13.0,3.0,30.0,0.0,0.0,0.0,0.0,-391.0,21.0,-110.0,0.0,0.0,0.0,2.0,10.57,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,75.0,8.799999999999997,-1.0,1.0,0.0,-2.0,2612.0,3135.0,-1681.0,30.0,0.75,-0.10000000000000009,44.0,-1.751999999999999,-1.5,1.0499999999999998,0.4499999999999993,0.0,0.0,0.0,0.0,0.0,25.0,14.0,9.400000000000006,3.0,2.0,1.0,0.0,-1631.0,1664.0,-3219.0,33.0,7.199999999999999,1.2,16.0,0.772000000000002,0.5999999999999943,-0.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,23.333333333333343,3.0,1.0,-3.0,3.0,46.0,1082.0,-1268.0,20.0,10.0,8.333333333333334,37.0,-2.2833333333333385,1.0,-1.333333333333334,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,0
9,9,9,5,USA,-13.0,-3.0,-30.0,0.0,0.0,0.0,0.0,391.0,-21.0,110.0,0.0,0.0,0.0,-2.0,-10.57,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,-75.0,-8.799999999999997,1.0,-1.0,0.0,2.0,-2612.0,-3135.0,1681.0,-30.0,-0.75,0.10000000000000009,-44.0,1.751999999999999,1.5,-1.0499999999999998,-0.4499999999999993,0.0,0.0,0.0,0.0,0.0,-25.0,-14.0,-9.400000000000006,-3.0,-2.0,-1.0,0.0,1631.0,-1664.0,3219.0,-33.0,-7.199999999999999,-1.2,-16.0,-0.772000000000002,-0.5999999999999943,0.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-19.0,-23.333333333333343,-3.0,-1.0,3.0,-3.0,-46.0,-1082.0,1268.0,-20.0,-10.0,-8.333333333333334,-37.0,2.2833333333333385,-1.0,1.333333333333334,-0.3333333333333339,0.0,0.0,0.0,0.0,0.0,0
